date,daily_active_users,signups,revenue
2025-11-01,1000,50,1200
2025-11-02,1015,48,1190
2025-11-03,1020,49,1185
2025-11-04,1030,52,1210
2025-11-05,1040,51,1205
2025-11-06,1050,53,1220
2025-11-07,1065,54,1230
2025-11-08,1070,55,1240
2025-11-09,1080,56,1250
2025-11-10,1090,57,1260
2025-11-11,1100,58,1270
2025-11-12,1110,59,1280
2025-11-13,1120,60,1290
2025-11-14,1130,61,1300
2025-11-15,600,30,800
2025-11-16,590,32,810
2025-11-17,580,31,805
2025-12-01,1151,57,2837.07
2025-12-02,1187,51,2849.66
2025-12-03,1275,70,2939.54
2025-12-04,1225,44,2913.53
2025-12-05,1267,58,2638.08
2025-12-06,1255,63,3495.74
2025-12-07,1199,69,3235.15
2025-12-08,1263,77,2907.18
2025-12-09,1226,71,3227.08
2025-12-10,492,61,1511.82
2025-12-11,503,69,1554.46
2025-12-12,1181,54,3298.84
2025-12-13,1322,76,3492.79
2025-12-14,1234,63,3680.00
2025-12-15,1322,59,3752.55
2025-12-16,1284,60,3183.96
2025-12-17,1359,65,3125.94
2025-12-18,1255,63,3322.98
2025-12-19,1278,85,3348.85
2025-12-20,2367,61,3107.32
2025-12-21,1193,67,3158.68
2025-12-22,1350,67,3606.05
2025-12-23,1391,68,3871.85
2025-12-24,1375,68,5658.62
2025-12-25,1362,64,3219.40
2025-12-26,1322,64,3346.02
2025-12-27,1399,62,3149.74
2025-12-28,1393,57,3383.66
2025-12-29,1364,71,3609.49
2025-12-30,1350,78,3475.60
